County,"Number of
Children with
EBLLs"
Anderson,27
Andrews,< 5
Angelina,9
Aransas,0
Archer,< 5
Armstrong,< 5
Atascosa,10
Austin,10
Bailey,0
Bandera,< 5
Bastrop,13
Baylor,< 5
Bee,< 5
Bell,43
Bexar,336
Blanco,0
Borden,0
Bosque,< 5
Bowie,15
Brazoria,28
Brazos,21
Brewster,0
Briscoe,0
Brooks,< 5
Brown,< 5
Burleson,< 5
Burnet,13
Caldwell,6
Calhoun,< 5
Callahan,6
Camp,< 5
Carson,0
Cass,7
Castro,< 5
Chambers,5
Cherokee,18
Childress,< 5
Clay,< 5
Cochran,< 5
Coke,0
Coleman,0
Collin,58
Collingsworth,0
Colorado,< 5
Comal,8
Comanche,8
Concho,< 5
Cooke,9
Coryell,< 5
Cottle,0
Crane,0
Crockett,0
Crosby,< 5
Culberson,0
Dallam,0
Dallas,383
Dawson,0
Deaf Smith,< 5
Delta,0
Denton,43
DeWitt,< 5
Dickens,0
Dimmit,< 5
Donley,0
Duval,< 5
Eastland,9
Ector,5
Edwards,0
El Paso,75
Ellis,8
Erath,< 5
Falls,7
Fannin,11
Fayette,< 5
Fisher,0
Floyd,< 5
Foard,0
Fort Bend,42
Franklin,0
Freestone,< 5
Frio,< 5
Gaines,< 5
Galveston,77
Garza,< 5
Gillespie,6
Glasscock,0
Goliad,< 5
Gonzales,< 5
Gray,< 5
Grayson,21
Gregg,32
Grimes,< 5
Guadalupe,18
Hale,5
Hall,< 5
Hamilton,0
Hansford,0
Hardeman,0
Hardin,6
Harris,790
Harrison,31
Hartley,0
Haskell,< 5
Hays,17
Hemphill,0
Henderson,5
Hidalgo,108
Hill,< 5
Hockley,5
Hood,< 5
Hopkins,15
Houston,< 5
Howard,< 5
Hudspeth,< 5
Hunt,24
Hutchinson,< 5
Irion,0
Jack,< 5
Jackson,0
Jasper,< 5
Jeff Davis,0
Jefferson,51
Jim Hogg,0
Jim Wells,8
Johnson,10
Jones,< 5
Karnes,< 5
Kaufman,20
Kendall,< 5
Kenedy,0
Kent,< 5
Kerr,13
Kimble,0
King,0
Kinney,0
Kleberg,7
Knox,< 5
La Salle,< 5
Lamar,32
Lamb,< 5
Lampasas,< 5
Lavaca,5
Lee,0
Leon,0
Liberty,17
Limestone,< 5
Lipscomb,< 5
Live Oak,< 5
Llano,6
Loving,0
Lubbock,26
Lynn,< 5
Madison,< 5
Marion,< 5
Martin,< 5
Mason,< 5
Matagorda,9
Maverick,6
McCulloch,< 5
McLennan,96
McMullen,0
Medina,5
Menard,0
Midland,18
Milam,17
Mills,0
Mitchell,< 5
Montague,< 5
Montgomery,33
Moore,< 5
Morris,8
Motley,0
Nacogdoches,8
Navarro,15
Newton,0
Nolan,6
Nueces,34
Ochiltree,< 5
Oldham,0
Orange,12
Palo Pinto,< 5
Panola,< 5
Parker,6
Parmer,< 5
Pecos,< 5
Polk,< 5
Potter,35
Presidio,0
Rains,< 5
Randall,9
Reagan,0
Real,< 5
Red River,< 5
Reeves,5
Refugio,< 5
Roberts,0
Robertson,< 5
Rockwall,< 5
Runnels,11
Rusk,11
Sabine,< 5
San Augustine,0
San Jacinto,7
San Patricio,11
San Saba,< 5
Schleicher,< 5
Scurry,< 5
Shackelford,< 5
Shelby,< 5
Sherman,< 5
Smith,24
Somervell,0
Starr,18
Stephens,< 5
Sterling,0
Stonewall,0
Sutton,< 5
Swisher,< 5
Tarrant,198
Taylor,30
Terrell,0
Terry,< 5
Throckmorton,< 5
Titus,5
Tom Green,9
Travis,87
Trinity,< 5
Tyler,< 5
Upshur,5
Upton,0
Uvalde,5
Val Verde,13
Van Zandt,6
Victoria,14
Walker,10
Waller,< 5
Ward,< 5
Washington,11
Webb,63
Wharton,< 5
Wheeler,0
Wichita,42
Wilbarger,9
Williamson,38
Wilson,6
Winkler,< 5
Wise,< 5
Wood,9
Yoakum,< 5
Young,< 5
Zapata,< 5
Zavala,0
